"","Total","Male","Female"
"1841",388887,194198,194689
"1851",274499,133264,141235
"1861",254796,125636,129160
"1871",246030,120877,125153
"1881",245212,119421,125791
"1891",219034,107498,111536
"1901",199166,97564,101602
"1911",192177,96345,95832
"1926",172690,86778,85912
"1936",161349,83213,78136
"1946",148120,75073,73047
"1951",141867,73345,68522
"1956",133052,68879,64173
"1961",123330,63844,59486
"1966",115547,59829,55718
"1971",109525,56402,53123
"1979",114019,58489,55530
"1981",114766,58987,55779
"1986",115184,58729,56455
"1991",110713,55981,54732
"1996",111524,56371,55153
"2002",117446,59149,58297
"2006",123839,62636,61203
"2011",130638,65420,65218
"2016",130507,65047,65460
